LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
801.0,4.906600689025901e-06,4.555944867595948e-08
802.0,4.902093988014561e-06,4.5849872952472643e-08
803.0,4.886835186762839e-06,4.571009350020853e-08
804.0,4.865914555472494e-06,4.536811357922999e-08
805.0,4.850625549285015e-06,4.501295273685361e-08
806.0,4.846507930204085e-06,4.481137381252162e-08
807.0,4.840940938852853e-06,4.48803179398463e-08
808.0,4.823484557274921e-06,4.5525752894599274e-08
809.0,4.802670466109681e-06,4.532274867408888e-08
810.0,4.800297893396501e-06,4.5314521021468396e-08
811.0,4.814720814822594e-06,4.543332230226928e-08
812.0,4.826946904722689e-06,4.557857063423026e-08
813.0,4.827766828953618e-06,4.561805646070361e-08
814.0,4.820608907226821e-06,4.551732505112926e-08
815.0,4.810745478604411e-06,4.5477030778001476e-08
816.0,4.796023985690107e-06,4.532190351753517e-08
817.0,4.769380154354612e-06,4.510501204903149e-08
818.0,4.725886568906965e-06,4.467874611637165e-08
819.0,4.680559866746329e-06,4.4224885774305216e-08
820.0,4.653715156170502e-06,4.398487689653221e-08
821.0,4.646807470317434e-06,4.392253835918655e-08
822.0,4.6525389871424735e-06,4.3972362250651026e-08
823.0,4.667594219723631e-06,4.413863754399676e-08
824.0,4.680921317561477e-06,4.425370204475376e-08
825.0,4.686954495520837e-06,4.4250502942692504e-08
826.0,4.689542781400474e-06,4.427696918355943e-08
827.0,4.687996192400671e-06,4.430142334084486e-08
828.0,4.680928669203745e-06,4.4215088989204924e-08
829.0,4.667726432585106e-06,4.4092889786503004e-08
830.0,4.64977107305089e-06,4.39371067508084e-08
831.0,4.626884947569291e-06,4.366049117674535e-08
832.0,4.595563855110044e-06,4.334229951508887e-08
833.0,4.558257644114399e-06,4.305770246488788e-08
834.0,4.539418709653701e-06,4.282931021417279e-08
835.0,4.549008908904347e-06,4.292936600386551e-08
